certificacao,faixa_etaria,sexo,uf,trabalha,renda_ord,escolaridade_ord,nota_lc,nota_ch,nota_mt,nota_cn,nota_redacao,aprovado_lc,aprovado_ch,aprovado_mt,aprovado_cn,n_areas_aprovadas
1,11,F,BA,Não,0,6,105,109,99,97,4.75,0,1,0,0,1
1,15,F,PR,Sim,4,3,103,108,140,126,7.25,1,1,1,1,4
1,7,F,MA,Sim,2,6,97,97,102,86,6.0,0,0,1,0,1
1,15,F,PR,Sim,1,4,97,86,101,110,6.75,0,0,1,1,2
1,12,F,SP,Sim,4,7,110,109,117,120,5.5,1,1,1,1,4
1,12,M,SC,Sim,3,6,123,153,125,129,6.25,1,1,1,1,4
1,19,M,DF,Não,4,8,76,86,97,93,0.0,0,0,0,0,0
1,14,M,MS,Sim,2,8,110,121,117,113,6.25,1,1,1,1,4
1,12,F,MA,Não,1,5,97,122,86,113,6.25,0,1,0,1,2
1,12,M,PR,Sim,1,7,131,146,142,120,6.25,1,1,1,1,4
1,11,F,RJ,Sim,2,0,130,134,98,120,8.0,1,1,0,1,3
1,6,M,MS,Sim,2,8,104,107,104,108,3.5,0,1,1,1,3
1,12,F,PR,Sim,1,7,97,118,93,116,0.0,0,1,0,1,2
1,14,F,SC,Sim,2,6,114,117,117,116,6.25,1,1,1,1,4
1,11,F,RJ,Não,0,8,110,98,115,120,7.0,1,0,1,1,3
1,13,M,ES,Sim,3,5,151,153,143,146,7.5,1,1,1,1,4
1,1,M,PR,Não,2,8,113,109,129,120,7.0,1,1,1,1,4
1,15,M,MS,Sim,3,5,109,123,133,150,6.0,1,1,1,1,4
1,1,M,MG,Não,1,0,111,101,104,113,0.0,0,1,1,1,3
1,15,F,RJ,Sim,3,6,106,122,102,122,5.25,1,1,1,1,4
1,2,M,MS,Não,2,8,110,98,99,107,6.75,1,0,0,1,2
1,15,M,SP,Sim,2,4,115,119,105,102,6.25,1,1,1,1,4
1,1,F,DF,Não,1,0,112,103,108,111,6.0,1,1,1,1,4
1,8,M,RJ,Sim,2,8,128,135,130,111,7.5,1,1,1,1,4
1,14,F,SP,Sim,3,8,127,143,141,134,6.75,1,1,1,1,4
1,11,F,RJ,Sim,1,5,119,123,110,121,6.25,1,1,1,1,4
1,12,F,TO,Não,1,1,108,86,102,108,5.0,1,0,1,1,3
1,14,F,RJ,Sim,2,7,94,112,79,107,5.75,0,1,0,1,2
1,12,F,SP,Sim,1,8,106,102,119,108,7.75,1,1,1,1,4
1,12,F,BA,Sim,1,5,101,102,90,98,4.25,0,1,0,0,1
1,6,F,PA,Não,1,7,105,93,104,103,0.0,0,0,1,1,2
1,16,M,MG,Sim,1,4,120,135,140,122,6.5,1,1,1,1,4
1,8,M,RS,Sim,1,7,122,87,135,116,0.0,0,0,1,1,2
1,15,F,SP,Sim,4,5,99,107,96,105,5.25,0,1,0,1,2
1,10,F,MS,Sim,1,7,131,133,121,135,5.75,1,1,1,1,4
1,14,F,PR,Sim,2,4,107,129,117,117,6.5,1,1,1,1,4
1,1,M,PR,Não,2,8,102,92,98,104,0.0,0,0,0,1,1
1,2,M,RS,Não,1,0,79,108,105,110,6.25,0,1,1,1,3
1,13,M,RS,Sim,1,6,114,120,118,130,6.5,1,1,1,1,4
1,14,M,PR,Sim,4,0,87,93,84,92,0.0,0,0,0,0,0
1,15,F,BA,Sim,1,7,116,120,105,123,5.75,1,1,1,1,4
1,11,F,AP,Não,2,8,98,118,117,114,6.5,0,1,1,1,3
1,16,F,MS,Não,1,1,108,98,99,107,6.0,1,0,0,1,2
1,17,F,MS,Não,1,4,105,109,84,117,4.25,0,1,0,1,2
1,14,M,MA,Sim,3,5,84,94,102,110,4.25,0,0,1,1,2
1,14,M,RJ,Sim,2,5,122,126,101,117,8.0,1,1,1,1,4
1,12,M,RJ,Sim,2,8,125,125,130,146,8.0,1,1,1,1,4
1,16,F,RJ,Não,2,7,95,113,126,115,6.75,0,1,1,1,3
1,4,F,PR,Não,1,8,122,111,123,121,6.25,1,1,1,1,4
1,1,F,PA,Não,2,0,132,128,131,118,7.0,1,1,1,1,4
1,16,M,ES,Sim,2,4,123,126,122,124,5.5,1,1,1,1,4
1,11,F,SP,Não,1,6,120,122,114,121,0.0,0,1,1,1,3
1,14,F,AL,Sim,1,7,117,132,114,130,5.75,1,1,1,1,4
1,6,M,MG,Não,2,8,130,124,136,121,7.0,1,1,1,1,4
1,1,M,RJ,Não,2,8,114,123,131,138,6.75,1,1,1,1,4
1,15,F,SC,Sim,1,6,109,122,101,124,0.0,0,1,1,1,3
1,14,M,MS,Sim,2,6,129,128,152,138,6.0,1,1,1,1,4
1,12,F,RS,Não,1,6,123,122,127,118,7.25,1,1,1,1,4
1,1,M,PE,Não,1,0,138,139,128,136,6.25,1,1,1,1,4
1,11,F,PR,Não,1,7,149,144,133,140,6.0,1,1,1,1,4
1,1,M,MG,Sim,2,8,102,91,114,105,5.75,1,0,1,1,3
1,15,F,SP,Não,2,7,111,135,113,120,6.75,1,1,1,1,4
