sk_especialidade,especialidade
1,Alergologia Pediatrica
2,Cardiologia
3,Cirurgia Bariátrica
4,Cirurgia Cardiaca
5,Cirurgia Geral
6,Cirurgia Oncologica
7,Cirurgia Pediatrica Geral
8,Cirurgia Plástica
9,Cirurgia Torácica
10,Cirurgia Vascular
11,Cirurgia de Cabeça e Pescoço
12,Cirurgia do Aparelho Digestivo
13,Clínica Geral
14,Dermatologia
15,Endocrinologia
16,Gastroenterologia
17,Geriatria
18,Hematologia
19,Infectologia
20,Mastologia
21,Medicina Intensiva
22,Medicina Intervencionista
23,Nefrologia
24,Neurologia/Neurocirurgia
25,Odontologia Cirurgia Bucomaxilo Facial
26,Odontologia Clinica
27,Oftalmologia
28,Oncologia
29,Otorrinolaringologia
30,Pediatria
31,Pneumologia
32,Proctologia
33,Psiquiatria
34,Psiquiatria Pediatrica
35,Reumatologia
36,Transplante
37,Urologia
