sk_municipio,municipio,e_natal
1,Acari,Interior/Outros
2,Acu,Interior/Outros
3,Afonso Bezerra,Interior/Outros
4,Alexandria,Interior/Outros
5,Almino Afonso,Interior/Outros
6,Alto do Rodrigues,Interior/Outros
7,Angicos,Interior/Outros
8,Antônio Martins,Interior/Outros
9,Apodi,Interior/Outros
10,Araruna,Interior/Outros
11,Areia Branca,Interior/Outros
12,Arez,Interior/Outros
13,Augusto Severo,Interior/Outros
14,Açu,Interior/Outros
15,Baraúna,Interior/Outros
16,Barcelona,Interior/Outros
17,Baía Formosa,Interior/Outros
18,Belém do Brejo do Cruz,Interior/Outros
19,Bento Fernandes,Interior/Outros
20,Boa Saúde,Interior/Outros
21,Boa Vista,Interior/Outros
22,Bodó,Interior/Outros
23,Bom Jesus,Interior/Outros
24,Bonito,Interior/Outros
25,Brejinho,Interior/Outros
26,Brejo do Cruz,Interior/Outros
27,Cabedelo,Interior/Outros
28,Caico,Interior/Outros
29,Caicó,Interior/Outros
30,Caiçara do Norte,Interior/Outros
31,Caiçara do Rio do Vento,Interior/Outros
32,Cajazeiras,Interior/Outros
33,Campo Grande,Interior/Outros
34,Campo Redondo,Interior/Outros
35,Cana Brava,Interior/Outros
36,Canguaretama,Interior/Outros
37,Caraúbas,Interior/Outros
38,Carnaubais,Interior/Outros
39,Carnaúba dos Dantas,Interior/Outros
40,Catolé do Rocha,Interior/Outros
41,Ceará-mirim,Interior/Outros
42,Cerro Corá,Interior/Outros
43,Conde,Interior/Outros
44,Contagem,Interior/Outros
45,Coronel Ezequiel,Interior/Outros
46,Coronel João Pessoa,Interior/Outros
47,Cruzeta,Interior/Outros
48,Currais Novos,Interior/Outros
49,Doutor Severiano,Interior/Outros
50,Encanto,Interior/Outros
51,Equador,Interior/Outros
52,Espírito Santo,Interior/Outros
53,Extremoz,Interior/Outros
54,Felipe Guerra,Interior/Outros
55,Fernando Pedroza,Interior/Outros
56,Florânia,Interior/Outros
57,Francisco Dantas,Interior/Outros
58,Frutuoso Gomes,Interior/Outros
59,Galinhos,Interior/Outros
60,Garanhuns,Interior/Outros
61,Goianinha,Interior/Outros
62,Governador Dix-sept Rosado,Interior/Outros
63,Governador Mangabeira,Interior/Outros
64,Grossos,Interior/Outros
65,Guamaré,Interior/Outros
66,Ielmo Marinho,Interior/Outros
67,Ipanguaçu,Interior/Outros
