sk_tempo,data,ano,mes,ano_mes,nome_mes,trimestre
1,2024-01-01,2024,1,2024-01,Janeiro,T1
2,2024-01-02,2024,1,2024-01,Janeiro,T1
3,2024-01-03,2024,1,2024-01,Janeiro,T1
4,2024-01-04,2024,1,2024-01,Janeiro,T1
5,2024-01-05,2024,1,2024-01,Janeiro,T1
6,2024-01-06,2024,1,2024-01,Janeiro,T1
7,2024-01-07,2024,1,2024-01,Janeiro,T1
8,2024-01-08,2024,1,2024-01,Janeiro,T1
9,2024-01-09,2024,1,2024-01,Janeiro,T1
10,2024-01-10,2024,1,2024-01,Janeiro,T1
11,2024-01-11,2024,1,2024-01,Janeiro,T1
12,2024-01-12,2024,1,2024-01,Janeiro,T1
13,2024-01-13,2024,1,2024-01,Janeiro,T1
14,2024-01-14,2024,1,2024-01,Janeiro,T1
15,2024-01-15,2024,1,2024-01,Janeiro,T1
16,2024-01-16,2024,1,2024-01,Janeiro,T1
17,2024-01-17,2024,1,2024-01,Janeiro,T1
18,2024-01-18,2024,1,2024-01,Janeiro,T1
19,2024-01-19,2024,1,2024-01,Janeiro,T1
20,2024-01-20,2024,1,2024-01,Janeiro,T1
21,2024-01-21,2024,1,2024-01,Janeiro,T1
22,2024-01-22,2024,1,2024-01,Janeiro,T1
23,2024-01-23,2024,1,2024-01,Janeiro,T1
24,2024-01-24,2024,1,2024-01,Janeiro,T1
25,2024-01-25,2024,1,2024-01,Janeiro,T1
26,2024-01-26,2024,1,2024-01,Janeiro,T1
27,2024-01-27,2024,1,2024-01,Janeiro,T1
28,2024-01-28,2024,1,2024-01,Janeiro,T1
29,2024-01-29,2024,1,2024-01,Janeiro,T1
30,2024-01-30,2024,1,2024-01,Janeiro,T1
31,2024-01-31,2024,1,2024-01,Janeiro,T1
32,2024-02-01,2024,2,2024-02,Fevereiro,T1
33,2024-02-02,2024,2,2024-02,Fevereiro,T1
34,2024-02-03,2024,2,2024-02,Fevereiro,T1
35,2024-02-04,2024,2,2024-02,Fevereiro,T1
36,2024-02-05,2024,2,2024-02,Fevereiro,T1
37,2024-02-06,2024,2,2024-02,Fevereiro,T1
38,2024-02-07,2024,2,2024-02,Fevereiro,T1
39,2024-02-08,2024,2,2024-02,Fevereiro,T1
40,2024-02-09,2024,2,2024-02,Fevereiro,T1
41,2024-02-10,2024,2,2024-02,Fevereiro,T1
42,2024-02-11,2024,2,2024-02,Fevereiro,T1
43,2024-02-12,2024,2,2024-02,Fevereiro,T1
44,2024-02-13,2024,2,2024-02,Fevereiro,T1
45,2024-02-14,2024,2,2024-02,Fevereiro,T1
46,2024-02-15,2024,2,2024-02,Fevereiro,T1
47,2024-02-16,2024,2,2024-02,Fevereiro,T1
48,2024-02-17,2024,2,2024-02,Fevereiro,T1
49,2024-02-18,2024,2,2024-02,Fevereiro,T1
50,2024-02-19,2024,2,2024-02,Fevereiro,T1
51,2024-02-20,2024,2,2024-02,Fevereiro,T1
52,2024-02-21,2024,2,2024-02,Fevereiro,T1
