especialidade,internacoes
Cardiologia,1562
Urologia,1362
Gastroenterologia,1155
Cirurgia Geral,1055
Clínica Geral,994
Oncologia,984
Transplante,857
Neurologia/Neurocirurgia,809
Pediatria,800
Otorrinolaringologia,750
Cirurgia Oncologica,710
Cirurgia Vascular,609
Nefrologia,509
Cirurgia de Cabeça e Pescoço,506
Cirurgia do Aparelho Digestivo,371
Cirurgia Bariátrica,349
Proctologia,328
Cirurgia Plástica,324
Odontologia Cirurgia Bucomaxilo Facial,305
Cirurgia Torácica,230
Mastologia,206
Pneumologia,202
Psiquiatria,187
Oftalmologia,170
Reumatologia,167
Hematologia,140
Cirurgia Pediatrica Geral,125
Medicina Intensiva,119
Dermatologia,65
Endocrinologia,47
Odontologia Clinica,17
Medicina Intervencionista,16
Cirurgia Cardiaca,4
Infectologia,4
Alergologia Pediatrica,3
Psiquiatria Pediatrica,2
Geriatria,1
