municipio,internacoes
Natal,5606
Parnamirim,1227
São Gonçalo do Amarante,447
Macaíba,422
Ceará-mirim,341
Santa Cruz,277
Mossoró,267
Caicó,251
São José de Mipibu,248
Extremoz,231
Açu,201
Macau,194
Touros,174
Currais Novos,166
Nova Cruz,166
João Câmara,154
Santo Antônio,152
Nísia Floresta,149
Canguaretama,146
Monte Alegre,138
Parelhas,134
São Paulo do Potengi,129
Guamaré,112
Arez,105
Goianinha,100
Lagoa Nova,92
Jucurutu,87
Maxaranguape,85
Passa e Fica,84
São Miguel de Touros,79
Tangará,78
Vera Cruz,77
Taipu,77
Ielmo Marinho,77
Pedro Velho,76
Brejinho,73
Pau dos Ferros,72
Pureza,72
Jaçanã,71
Apodi,69
Acari,66
Espírito Santo,65
Caraúbas,65
Montanhas,65
Poço Branco,64
São Miguel,62
Riachuelo,62
Serra Caiada,61
Bom Jesus,60
Jardim do Seridó,59
Tibau do Sul,59
Baía Formosa,57
Serrinha,56
São José do Campestre,56
Campo Redondo,56
Cruzeta,53
Jardim de Piranhas,50
Santana do Matos,50
Rio do Fogo,47
Ipanguaçu,47
Carnaúba dos Dantas,44
Baraúna,44
Angicos,44
São Vicente,43
Cerro Corá,42
Sítio Novo,41
São Tomé,41
Lagoa D'anta,41
Lagoa Salgada,41
Lagoa de Pedras,39
Jandaíra,39
Patu,39
Umarizal,38
Areia Branca,38
Lajes,37
São Pedro,37
Tenente Laurentino Cruz,36
Pedro Avelino,34
Florânia,34
São João do Sabugi,33
Equador,32
Boa Saúde,32
Governador Dix-sept Rosado,32
Lajes Pintadas,31
Fernando Pedroza,31
Bento Fernandes,31
Vila Flor,31
Doutor Severiano,30
Passagem,30
Senador Elói de Souza,30
Afonso Bezerra,29
Coronel Ezequiel,29
Alto do Rodrigues,27
Japi,27
Várzea,26
São Fernando,25
Serra de São Bento,25
Alexandria,24
Pedra Preta,23
Caiçara do Rio do Vento,23
Encanto,22
Caiçara do Norte,21
Santa Maria,21
Pendências,20
Serra Negra do Norte,19
Pilões,19
Itajá,19
Tibau,19
Parazinho,19
Senador Georgino Avelino,19
Jundiá,18
Tenente Ananias,17
São José do Seridó,17
São Rafael,17
Pedra Grande,17
Santana do Seridó,17
Serra do Mel,17
Venha-ver,16
Upanema,16
São Bento do Norte,16
Campo Grande,16
Messias Targino,15
Barcelona,15
Felipe Guerra,15
Bodó,15
Ouro Branco,15
Coronel João Pessoa,14
Luís Gomes,13
Jardim de Angicos,13
São Bento do Trairi,12
Galinhos,12
Carnaubais,12
Ruy Barbosa,12
Ipueira,11
Timbaúba dos Batistas,11
Marcelino Vieira,11
Lagoa de Velhos,11
Frutuoso Gomes,11
Martins,11
Portalegre,10
Monte das Gameleiras,10
Lucrécia,10
Janduís,10
Almino Afonso,9
Riacho da Cruz,9
João Dias,9
Grossos,8
José da Penha,8
Serrinha dos Pintos,8
Porto do Mangue,8
Antônio Martins,7
Taboleiro Grande,6
São Francisco do Oeste,6
Rodolfo Fernandes,6
Itaú,6
Riacho de Santana,6
Major Sales,5
Rafael Fernandes,4
Paraná,4
Triunfo Potiguar,4
São Bento,3
Severiano Melo,3
Água Nova,3
Olho-d'água do Borges,3
Paraú,3
Araruna,2
Acu,2
Francisco Dantas,2
Augusto Severo,2
Belém do Brejo do Cruz,2
Uruaçu,2
Mataraca,2
Viçosa,2
Tangara,2
Contagem,1
Governador Mangabeira,1
Garanhuns,1
Conde,1
Brejo do Cruz,1
Bonito,1
Boa Vista,1
Caico,1
Cajazeiras,1
Cabedelo,1
Cana Brava,1
Catolé do Rocha,1
Japecanga,1
Rafael Godeiro,1
Porto Belo,1
Poço de Pedra,1
Pipa,1
Paulista,1
Não Informado,1
Logradouro,1
Mamanguape,1
Quiterianópolis,1
Santa Rita,1
Santo Antonio,1
Recife,1
Santa Fé,1
Tacima,1
Uiraúna,1
